timestamp,load,load_lag_1,load_lag_24,load_lag_168,load_roll_mean_3,load_roll_std_3,load_roll_mean_24,load_roll_std_24,load_roll_mean_168,load_roll_std_168,hour,day,weekday,month,is_weekend,forecast
2024-01-08 00:00:00,992.638356519914,1005.139980459114,1007.7964838274528,1014.901424590337,974.1467139262876,43.30865760698622,1005.7200358723095,142.00954635091887,998.6940969080878,144.48760147583116,0,8,0,1,0,997.4211485222677
2024-01-08 01:00:00,1029.1517240897797,992.638356519914,1075.2184951738234,1047.6158799853686,1008.976687022936,18.556582141268755,1003.8005870771411,141.33908413879365,998.584191218233,144.45718514075796,1,8,0,1,0,1064.1131587159261
2024-01-08 02:00:00,1073.3145671112345,1029.1517240897797,1062.8914786736575,1119.4306561430208,1031.7015492403095,40.39850176760892,1004.2348824287069,141.54441267536006,998.3096906882818,144.26986905749084,2,8,0,1,0,1081.0899351035014
2024-01-08 03:00:00,1116.9470476883464,1073.3145671112345,1101.8076578447813,1187.1122519295502,1073.1377796297868,43.89792878718292,1004.8656903388552,142.03106107305067,997.8920406630366,143.82089026362303,3,8,0,1,0,1126.5655942823148
2024-01-08 04:00:00,1170.8920294744646,1116.9470476883464,1188.8633277253948,1166.1804795151877,1120.3845480913485,48.87947009816703,1004.1168862450667,141.0629016124715,997.9200856032703,143.85435833648793,4,8,0,1,0,1162.8586056195802
2024-01-08 05:00:00,1203.4197245023129,1170.8920294744646,1202.0947054548092,1186.161056549338,1163.7529338883749,43.67614879066129,1004.172095372046,141.14399094630886,998.0228157696571,143.99568411551166,5,8,0,1,0,1182.9326598902144
2024-01-08 06:00:00,1208.3007239799006,1203.4197245023129,1207.5147855103762,1247.3763844652217,1194.2041593188926,20.33586947706033,1004.2048428082759,141.19330317179723,997.7902225524826,143.6215697371163,6,8,0,1,0,1214.807332430441
2024-01-08 07:00:00,1218.0006627288944,1208.3007239799006,1203.578611542723,1216.208207132401,1209.9070370703691,7.422002506110725,1004.8057616076999,142.10646808817842,997.8008919310331,143.63795840672634,7,8,0,1,0,1215.9848770121685
2024-01-08 08:00:00,1173.595137513225,1218.0006627288944,1152.804339109533,1159.1208491788393,1199.9655080740065,23.346724300609175,1005.6720448745205,143.10773898537886,997.887048409214,143.73960525867994,8,8,0,1,0,1167.697553728182
2024-01-08 09:00:00,1185.027378552029,1173.595137513225,1148.3889671521397,1157.6981575448883,1192.207726264716,23.057118475138207,1007.1986453495157,144.88079922303095,998.0497223437802,143.93687997935018,9,8,0,1,0,1181.9408505659612
